trial_id,gamble_id,sure,hi,p,ev_ratio,template_id,safe_first,rep,response_mode,model,temperature,seed,letter,chose_gamble,raw,discarded,latency_s,ts_utc
1058,35,91,133,0.68,0.9938,1,True,2,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.786,2026-07-04T19:00:15+00:00
877,29,79,81,0.83,0.851,1,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.6,2026-07-04T19:00:15+00:00
498,16,139,234,0.6,1.0101,3,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.673,2026-07-04T19:00:16+00:00
1082,36,98,227,0.47,1.0887,0,True,2,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.68,2026-07-04T19:00:17+00:00
690,23,91,626,0.23,1.5822,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.669,2026-07-04T19:00:17+00:00
295,9,49,153,0.26,0.8118,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.577,2026-07-04T19:00:18+00:00
1011,33,142,446,0.53,1.6646,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.618,2026-07-04T19:00:19+00:00
38,1,58,116,0.66,1.32,1,True,2,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.55,2026-07-04T19:00:19+00:00
402,13,72,88,0.64,0.7822,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.697,2026-07-04T19:00:20+00:00
1127,37,151,252,0.68,1.1348,2,False,2,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,2.096,2026-07-04T19:00:22+00:00
450,15,82,113,0.74,1.0198,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.884,2026-07-04T19:00:23+00:00
397,13,72,88,0.64,0.7822,1,True,1,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.649,2026-07-04T19:00:24+00:00
524,17,117,362,0.42,1.2995,2,True,2,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.661,2026-07-04T19:00:25+00:00
811,27,166,433,0.53,1.3825,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.532,2026-07-04T19:00:25+00:00
1053,35,91,133,0.68,0.9938,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.572,2026-07-04T19:00:26+00:00
202,6,94,101,0.71,0.7629,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.537,2026-07-04T19:00:26+00:00
609,20,186,266,0.63,0.901,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.528,2026-07-04T19:00:27+00:00
918,30,149,447,0.26,0.78,3,True,0,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.534,2026-07-04T19:00:28+00:00
1182,39,178,567,0.32,1.0193,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.612,2026-07-04T19:00:28+00:00
270,9,49,153,0.26,0.8118,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.614,2026-07-04T19:00:29+00:00
11,0,186,984,0.26,1.3755,1,False,2,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,1.273,2026-07-04T19:00:30+00:00
74,2,162,661,0.26,1.0609,2,True,2,text,claude-haiku-4-5-20251001,1.0,42,A,0,A,0,1.325,2026-07-04T19:00:32+00:00
