trial_id,gamble_id,sure,hi,p,ev_ratio,template_id,safe_first,rep,response_mode,model,temperature,seed,letter,chose_gamble,raw,discarded,latency_s,ts_utc
1058,35,91,133,0.68,0.9938,1,True,2,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.273,0,0.0,2026-07-01T20:31:36+00:00
877,29,79,81,0.83,0.851,1,True,1,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.259,0,0.0,2026-07-01T20:31:36+00:00
498,16,139,234,0.6,1.0101,3,True,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.243,0,0.0,2026-07-01T20:31:36+00:00
1082,36,98,227,0.47,1.0887,0,True,2,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.223,0,0.0,2026-07-01T20:31:36+00:00
690,23,91,626,0.23,1.5822,0,True,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.267,0,0.0,2026-07-01T20:31:36+00:00
295,9,49,153,0.26,0.8118,4,True,1,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.115,0,0.0,2026-07-01T20:31:36+00:00
1011,33,142,446,0.53,1.6646,3,False,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,0,simulated p_gamble=0.443,0,0.0,2026-07-01T20:31:36+00:00
38,1,58,116,0.66,1.32,1,True,2,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.422,0,0.0,2026-07-01T20:31:36+00:00
402,13,72,88,0.64,0.7822,2,True,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.146,0,0.0,2026-07-01T20:31:36+00:00
1127,37,151,252,0.68,1.1348,2,False,2,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,1,simulated p_gamble=0.348,0,0.0,2026-07-01T20:31:36+00:00
450,15,82,113,0.74,1.0198,0,True,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.322,0,0.0,2026-07-01T20:31:36+00:00
397,13,72,88,0.64,0.7822,1,True,1,text,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.146,0,0.0,2026-07-01T20:31:36+00:00
524,17,117,362,0.42,1.2995,2,True,2,text,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.271,0,0.0,2026-07-01T20:31:36+00:00
811,27,166,433,0.53,1.3825,0,True,1,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.356,0,0.0,2026-07-01T20:31:36+00:00
1053,35,91,133,0.68,0.9938,0,False,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,0,simulated p_gamble=0.273,0,0.0,2026-07-01T20:31:36+00:00
202,6,94,101,0.71,0.7629,3,False,1,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,0,simulated p_gamble=0.155,0,0.0,2026-07-01T20:31:36+00:00
609,20,186,266,0.63,0.901,1,False,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,0,simulated p_gamble=0.202,0,0.0,2026-07-01T20:31:36+00:00
918,30,149,447,0.26,0.78,3,True,0,text,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.108,0,0.0,2026-07-01T20:31:36+00:00
1182,39,178,567,0.32,1.0193,2,True,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.168,0,0.0,2026-07-01T20:31:36+00:00
270,9,49,153,0.26,0.8118,0,True,0,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.115,0,0.0,2026-07-01T20:31:36+00:00
11,0,186,984,0.26,1.3755,1,False,2,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,0,simulated p_gamble=0.238,0,0.0,2026-07-01T20:31:36+00:00
74,2,162,661,0.26,1.0609,2,True,2,text,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.173,0,0.0,2026-07-01T20:31:36+00:00
265,8,62,263,0.33,1.3998,4,True,1,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,A,0,simulated p_gamble=0.262,0,0.0,2026-07-01T20:31:36+00:00
512,17,117,362,0.42,1.2995,0,True,2,text,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,1,simulated p_gamble=0.271,0,0.0,2026-07-01T20:31:36+00:00
947,31,51,151,0.29,0.8586,2,False,2,tool,"simulated-crra(r=0.5,mu=0.15)",nan,42,B,0,simulated p_gamble=0.126,0,0.0,2026-07-01T20:31:36+00:00
