trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,rep,response_mode,model,temperature,seed,letter,chose_gamble,raw,discarded,latency_s,ts_utc
1856,30,mixed,149,149,447,0.26,0.78,4,True,0,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.61,2026-07-04T21:29:32+00:00
1027,17,neutral,0,117,362,0.42,1.2995,1,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,1.582,2026-07-04T21:29:34+00:00
318,5,neutral,0,162,381,0.46,1.0819,4,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.528,2026-07-04T21:29:34+00:00
2118,35,neutral,0,91,133,0.68,0.9938,4,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.537,2026-07-04T21:29:35+00:00
1852,30,mixed,149,149,447,0.26,0.78,3,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.719,2026-07-04T21:29:36+00:00
760,12,mixed,164,164,541,0.38,1.2535,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.559,2026-07-04T21:29:36+00:00
1626,27,neutral,0,166,433,0.53,1.3825,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.788,2026-07-04T21:29:37+00:00
490,8,neutral,0,62,263,0.33,1.3998,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.546,2026-07-04T21:29:38+00:00
2440,20,dominant,0,186,243,1.0,1.3065,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.537,2026-07-04T21:29:38+00:00
1419,23,gain,0,91,626,0.23,1.5822,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.557,2026-07-04T21:29:39+00:00
1759,29,neutral,0,79,81,0.83,0.851,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.515,2026-07-04T21:29:40+00:00
872,14,gain,0,81,201,0.68,1.6874,3,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.546,2026-07-04T21:29:40+00:00
459,7,gain,0,63,98,0.64,0.9956,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.536,2026-07-04T21:29:41+00:00
2101,35,neutral,0,91,133,0.68,0.9938,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.617,2026-07-04T21:29:41+00:00
546,9,neutral,0,49,153,0.26,0.8118,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.875,2026-07-04T21:29:42+00:00
1842,30,mixed,149,149,447,0.26,0.78,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.548,2026-07-04T21:29:43+00:00
720,12,neutral,0,164,541,0.38,1.2535,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.55,2026-07-04T21:29:44+00:00
1763,29,gain,0,79,81,0.83,0.851,0,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.523,2026-07-04T21:29:44+00:00
