trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,rep,response_mode,model,temperature,seed,letter,chose_gamble,raw,discarded,latency_s,ts_utc
1873,20,mixed,186,186,266,0.63,0.901,2,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.109,0,0.0,2026-07-04T21:08:09+00:00
2473,27,gain,0,166,433,0.53,1.3825,2,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.608,0,0.0,2026-07-04T21:08:09+00:00
548,6,neutral,0,94,101,0.71,0.7629,1,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.173,0,0.0,2026-07-04T21:08:09+00:00
2513,27,mixed,166,166,433,0.53,1.3825,3,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.375,0,0.0,2026-07-04T21:08:09+00:00
1498,16,gain,0,139,234,0.6,1.0101,4,False,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.403,0,0.0,2026-07-04T21:08:09+00:00
2781,30,mixed,149,149,447,0.26,0.78,3,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.055,0,0.0,2026-07-04T21:08:09+00:00
2850,31,mixed,51,51,151,0.29,0.8586,0,True,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.070,0,0.0,2026-07-04T21:08:09+00:00
3477,38,gain,0,183,609,0.38,1.2646,4,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.496,0,0.0,2026-07-04T21:08:09+00:00
585,6,gain,0,94,101,0.71,0.7629,2,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.173,0,0.0,2026-07-04T21:08:09+00:00
1473,16,gain,0,139,234,0.6,1.0101,0,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.403,0,0.0,2026-07-04T21:08:09+00:00
2586,28,mixed,132,132,181,0.76,1.0421,1,True,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.331,0,0.0,2026-07-04T21:08:09+00:00
578,6,gain,0,94,101,0.71,0.7629,1,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.173,0,0.0,2026-07-04T21:08:09+00:00
1275,14,neutral,0,81,201,0.68,1.6874,2,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.788,0,0.0,2026-07-04T21:08:09+00:00
2474,27,gain,0,166,433,0.53,1.3825,2,True,2,text,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.608,0,0.0,2026-07-04T21:08:09+00:00
319,3,gain,0,46,158,0.33,1.1335,3,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.429,0,0.0,2026-07-04T21:08:09+00:00
132,1,gain,0,58,116,0.66,1.32,2,True,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.639,0,0.0,2026-07-04T21:08:09+00:00
844,9,gain,0,49,153,0.26,0.8118,0,False,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.279,0,0.0,2026-07-04T21:08:09+00:00
2909,32,neutral,0,131,236,0.57,1.0269,4,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.410,0,0.0,2026-07-04T21:08:09+00:00
1342,14,mixed,81,81,201,0.68,1.6874,3,False,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.719,0,0.0,2026-07-04T21:08:09+00:00
3002,33,gain,0,142,446,0.53,1.6646,0,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.704,0,0.0,2026-07-04T21:08:09+00:00
3038,33,mixed,142,142,446,0.53,1.6646,1,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.523,0,0.0,2026-07-04T21:08:09+00:00
45,0,gain,0,186,984,0.26,1.3755,2,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.494,0,0.0,2026-07-04T21:08:09+00:00
2375,26,gain,0,59,151,0.36,0.9214,0,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.322,0,0.0,2026-07-04T21:08:09+00:00
2000,22,neutral,0,81,163,0.72,1.4489,3,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.729,0,0.0,2026-07-04T21:08:09+00:00
2941,32,mixed,131,131,236,0.57,1.0269,0,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.169,0,0.0,2026-07-04T21:08:09+00:00
1472,16,gain,0,139,234,0.6,1.0101,0,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.403,0,0.0,2026-07-04T21:08:09+00:00
2980,33,neutral,0,142,446,0.53,1.6646,1,False,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.704,0,0.0,2026-07-04T21:08:09+00:00
1610,17,mixed,117,117,362,0.42,1.2995,3,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.253,0,0.0,2026-07-04T21:08:09+00:00
979,10,mixed,111,111,278,0.58,1.4526,3,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.471,0,0.0,2026-07-04T21:08:09+00:00
3535,39,neutral,0,178,567,0.32,1.0193,4,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.376,0,0.0,2026-07-04T21:08:09+00:00
267,2,mixed,162,162,661,0.26,1.0609,4,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.140,0,0.0,2026-07-04T21:08:09+00:00
1233,13,mixed,72,72,88,0.64,0.7822,0,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.048,0,0.0,2026-07-04T21:08:09+00:00
1418,15,mixed,82,82,113,0.74,1.0198,1,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.283,0,0.0,2026-07-04T21:08:09+00:00
238,2,gain,0,162,661,0.26,1.0609,4,False,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.394,0,0.0,2026-07-04T21:08:09+00:00
3125,34,mixed,52,52,96,0.63,1.1631,0,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.316,0,0.0,2026-07-04T21:08:09+00:00
1179,13,neutral,0,72,88,0.64,0.7822,1,False,0,text,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.196,0,0.0,2026-07-04T21:08:09+00:00
3016,33,gain,0,142,446,0.53,1.6646,2,False,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.704,0,0.0,2026-07-04T21:08:09+00:00
1416,15,mixed,82,82,113,0.74,1.0198,1,True,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.283,0,0.0,2026-07-04T21:08:09+00:00
2046,22,mixed,81,81,163,0.72,1.4489,1,True,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.654,0,0.0,2026-07-04T21:08:09+00:00
2406,26,mixed,59,59,151,0.36,0.9214,1,True,0,text,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.082,0,0.0,2026-07-04T21:08:09+00:00
36,0,gain,0,186,984,0.26,1.3755,1,True,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,0,simulated p_gamble=0.494,0,0.0,2026-07-04T21:08:09+00:00
2157,23,mixed,91,91,626,0.23,1.5822,4,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.301,0,0.0,2026-07-04T21:08:09+00:00
2036,22,gain,0,81,163,0.72,1.4489,4,True,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.729,0,0.0,2026-07-04T21:08:09+00:00
2687,29,mixed,79,79,81,0.83,0.851,2,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.126,0,0.0,2026-07-04T21:08:09+00:00
223,2,gain,0,162,661,0.26,1.0609,2,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.394,0,0.0,2026-07-04T21:08:09+00:00
2107,23,gain,0,91,626,0.23,1.5822,1,True,1,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,1,simulated p_gamble=0.527,0,0.0,2026-07-04T21:08:09+00:00
2433,27,neutral,0,166,433,0.53,1.3825,0,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.608,0,0.0,2026-07-04T21:08:09+00:00
327,3,gain,0,46,158,0.33,1.1335,4,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,A,1,simulated p_gamble=0.429,0,0.0,2026-07-04T21:08:09+00:00
2391,26,gain,0,59,151,0.36,0.9214,3,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.322,0,0.0,2026-07-04T21:08:09+00:00
605,6,mixed,94,94,101,0.71,0.7629,0,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.043,0,0.0,2026-07-04T21:08:09+00:00
573,6,gain,0,94,101,0.71,0.7629,0,False,0,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.173,0,0.0,2026-07-04T21:08:09+00:00
2417,26,mixed,59,59,151,0.36,0.9214,2,False,2,tool,"simulated-ref(alpha=0.8,lam=2.0,phi=1.0)",nan,42,B,0,simulated p_gamble=0.082,0,0.0,2026-07-04T21:08:09+00:00
