instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note,latency_s,ts_utc
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,simulated-logprob,fewshot,0.59443,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,simulated-logprob,fewshot,0.66746,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,simulated-logprob,fewshot,0.49435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,simulated-logprob,fewshot,0.48785,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,simulated-logprob,fewshot,0.20595,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,simulated-logprob,fewshot,0.86092,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,simulated-logprob,fewshot,0.80017,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,simulated-logprob,fewshot,0.85551,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,simulated-logprob,fewshot,0.81014,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,simulated-logprob,fewshot,0.48785,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,simulated-logprob,fewshot,0.39304,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,simulated-logprob,fewshot,0.73404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,simulated-logprob,fewshot,0.66746,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,simulated-logprob,fewshot,0.5295,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,simulated-logprob,fewshot,0.60854,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,simulated-logprob,fewshot,0.50399,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,simulated-logprob,fewshot,0.39304,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,simulated-logprob,fewshot,0.59443,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,simulated-logprob,fewshot,0.57566,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,simulated-logprob,fewshot,0.35109,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,simulated-logprob,fewshot,0.23776,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,simulated-logprob,fewshot,0.86092,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,simulated-logprob,fewshot,0.66746,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,simulated-logprob,fewshot,0.58509,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,simulated-logprob,fewshot,0.50399,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
