instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.44939,0.97245,0,massA=0.437 massB=0.535
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.48438,0.91324,0,massA=0.442 massB=0.471
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.44553,0.89226,0,massA=0.495 massB=0.398
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.28141,0.9276,0,massA=0.667 massB=0.261
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.50391,0.96746,0,massA=0.488 massB=0.48
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.39981,0.94956,0,massA=0.57 massB=0.38
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.4149,0.96978,0,massA=0.402 massB=0.567
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.61878,0.96261,0,massA=0.596 massB=0.367
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.5506,0.91571,0,massA=0.504 massB=0.412
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.35937,0.91844,0,massA=0.588 massB=0.33
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.37388,0.96592,0,massA=0.361 massB=0.605
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.37388,0.89392,0,massA=0.56 massB=0.334
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.53121,0.88139,0,massA=0.468 massB=0.413
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.43782,0.97019,0,massA=0.425 massB=0.545
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.35937,0.92364,0,massA=0.592 massB=0.332
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.39981,0.97377,0,massA=0.584 massB=0.389
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.44939,0.97259,0,massA=0.437 massB=0.536
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.45326,0.96751,0,massA=0.439 massB=0.529
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.58889,0.96281,0,massA=0.567 massB=0.396
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.36659,0.97367,0,massA=0.617 massB=0.357
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.35936,0.97214,0,massA=0.623 massB=0.349
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.5813,0.96168,0,massA=0.559 massB=0.403
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.4187,0.9672,0,massA=0.405 massB=0.562
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.53121,0.91234,0,massA=0.485 massB=0.428
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.34158,0.91782,0,massA=0.604 massB=0.314
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.44939,0.97029,0,massA=0.436 massB=0.534
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.48048,0.94508,0,massA=0.491 massB=0.454
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.42633,0.95796,0,massA=0.55 massB=0.408
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.37023,0.96027,0,massA=0.605 massB=0.356
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.30404,0.92892,0,massA=0.646 massB=0.282
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,meta-llama/Llama-3.1-8B,fewshot,none,0.4187,0.97675,0,massA=0.568 massB=0.409
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.33808,0.96646,0,massA=0.327 massB=0.64
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.38122,0.96961,0,massA=0.37 massB=0.6
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.47658,0.97291,0,massA=0.464 massB=0.509
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,meta-llama/Llama-3.1-8B,fewshot,none,0.46879,0.97172,0,massA=0.456 massB=0.516
