instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.15817,0.99586,0,massA=0.158 massB=0.838
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.13478,0.94482,0,massA=0.127 massB=0.817
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.44167,0.92432,0,massA=0.516 massB=0.408
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.15611,0.93713,0,massA=0.791 massB=0.146
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.1561,0.99503,0,massA=0.155 massB=0.84
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.24221,0.98516,0,massA=0.747 massB=0.239
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.08632,0.99645,0,massA=0.086 massB=0.91
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.3522,0.99399,0,massA=0.35 massB=0.644
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.16027,0.94614,0,massA=0.152 massB=0.795
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.33112,0.93443,0,massA=0.625 massB=0.309
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.25091,0.97246,0,massA=0.244 massB=0.728
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.2227,0.94043,0,massA=0.731 massB=0.209
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.14805,0.93309,0,massA=0.138 massB=0.795
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.09009,0.9962,0,massA=0.0898 massB=0.906
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.27513,0.94087,0,massA=0.682 massB=0.259
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.16027,0.99284,0,massA=0.834 massB=0.159
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.13661,0.99591,0,massA=0.136 massB=0.86
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.14805,0.99505,0,massA=0.147 massB=0.848
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.41111,0.99365,0,massA=0.409 massB=0.585
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.09138,0.99351,0,massA=0.903 massB=0.0908
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.14034,0.99402,0,massA=0.855 massB=0.139
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.37754,0.99435,0,massA=0.375 massB=0.619
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.1023,0.99579,0,massA=0.102 massB=0.894
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,meta-llama/Llama-3.1-8B-Instruct,fewshot,none,0.13661,0.9447,0,massA=0.129 massB=0.816
