instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B,fewshot,0.67819,0.91787,0,massA=0.622 massB=0.295
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B,fewshot,0.85127,0.76016,0,massA=0.647 massB=0.113
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B,fewshot,0.2897,0.74243,0,massA=0.527 massB=0.215
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B,fewshot,0.15624,0.85285,0,massA=0.72 massB=0.133
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B,fewshot,0.5777,0.92226,0,massA=0.533 massB=0.389
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B,fewshot,0.51551,0.94679,0,massA=0.459 massB=0.488
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B,fewshot,0.53508,0.92631,0,massA=0.496 massB=0.431
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B,fewshot,0.92955,0.89816,0,massA=0.835 massB=0.0633
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B,fewshot,0.82213,0.76631,0,massA=0.63 massB=0.136
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B,fewshot,0.17129,0.83464,0,massA=0.692 massB=0.143
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B,fewshot,0.84162,0.91137,0,massA=0.767 massB=0.144
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B,fewshot,0.24656,0.75777,0,massA=0.571 massB=0.187
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B,fewshot,0.74694,0.63881,0,massA=0.477 massB=0.162
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B,fewshot,0.53436,0.92531,0,massA=0.494 massB=0.431
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B,fewshot,0.15697,0.84491,0,massA=0.712 massB=0.133
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B,fewshot,0.38428,0.95553,0,massA=0.588 massB=0.367
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B,fewshot,0.69881,0.92207,0,massA=0.644 massB=0.278
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,allenai/OLMo-2-1124-7B,fewshot,0.53919,0.91753,0,massA=0.495 massB=0.423
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,allenai/OLMo-2-1124-7B,fewshot,0.94045,0.89194,0,massA=0.839 massB=0.0531
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,allenai/OLMo-2-1124-7B,fewshot,0.36209,0.95453,0,massA=0.609 massB=0.346
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,allenai/OLMo-2-1124-7B,fewshot,0.36982,0.95545,0,massA=0.602 massB=0.353
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,allenai/OLMo-2-1124-7B,fewshot,0.95918,0.90398,0,massA=0.867 massB=0.0369
