instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.81718,0.83814,0,massA=0.685 massB=0.153
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.88228,0.71331,0,massA=0.629 massB=0.084
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.36844,0.71706,0,massA=0.453 massB=0.264
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.28579,0.76761,0,massA=0.548 massB=0.219
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.67614,0.83306,0,massA=0.563 massB=0.27
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.53738,0.82806,0,massA=0.383 massB=0.445
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.61535,0.83569,0,massA=0.514 massB=0.321
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.92567,0.81827,0,massA=0.757 massB=0.0608
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.86039,0.70744,0,massA=0.609 massB=0.0988
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.30282,0.74458,0,massA=0.519 massB=0.225
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.88564,0.81133,0,massA=0.719 massB=0.0928
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.29164,0.71572,0,massA=0.507 massB=0.209
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.7598,0.64306,0,massA=0.489 massB=0.154
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.61284,0.84545,0,massA=0.518 massB=0.327
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.29304,0.75341,0,massA=0.533 massB=0.221
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.58356,0.90336,0,massA=0.376 massB=0.527
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.83021,0.84926,0,massA=0.705 massB=0.144
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.6555,0.83289,0,massA=0.546 massB=0.287
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.9496,0.82063,0,massA=0.779 massB=0.0414
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.52751,0.89823,0,massA=0.424 massB=0.474
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.52061,0.89581,0,massA=0.429 massB=0.466
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.96963,0.83443,0,massA=0.809 massB=0.0253
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.64064,0.83403,0,massA=0.534 massB=0.3
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.79978,0.69942,0,massA=0.559 massB=0.14
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.17327,0.76424,0,massA=0.632 massB=0.132
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.87584,0.79828,0,massA=0.699 massB=0.0991
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.59153,0.80333,0,massA=0.328 massB=0.475
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.17921,0.82977,0,massA=0.681 massB=0.149
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.27074,0.80718,0,massA=0.589 massB=0.219
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.34612,0.76685,0,massA=0.501 massB=0.265
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.48064,0.88779,0,massA=0.461 massB=0.427
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.81846,0.79495,0,massA=0.651 massB=0.144
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.81524,0.79451,0,massA=0.648 massB=0.147
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.86014,0.78724,0,massA=0.677 massB=0.11
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.77411,0.83305,0,massA=0.645 massB=0.188
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.53972,0.89577,0,massA=0.412 massB=0.483
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.46352,0.89466,0,massA=0.48 massB=0.415
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.34577,0.72091,0,massA=0.472 massB=0.249
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.68894,0.84201,0,massA=0.58 massB=0.262
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.16415,0.83972,0,massA=0.702 massB=0.138
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.37476,0.71929,0,massA=0.45 massB=0.27
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.21618,0.81371,0,massA=0.638 massB=0.176
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.52917,0.81686,0,massA=0.385 massB=0.432
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.5432,0.79922,0,massA=0.365 massB=0.434
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.54847,0.80469,0,massA=0.363 massB=0.441
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.82242,0.70657,0,massA=0.581 massB=0.125
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.2137,0.81347,0,massA=0.64 massB=0.174
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.51857,0.81051,0,massA=0.39 massB=0.42
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.51473,0.8968,0,massA=0.435 massB=0.462
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.34081,0.76994,0,massA=0.508 massB=0.262
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.73979,0.65012,0,massA=0.481 massB=0.169
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.14301,0.83258,0,massA=0.714 massB=0.119
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.91015,0.80706,0,massA=0.735 massB=0.0725
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.18192,0.82062,0,massA=0.671 massB=0.149
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.88881,0.80137,0,massA=0.712 massB=0.0891
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.59429,0.83429,0,massA=0.496 massB=0.338
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,allenai/OLMo-2-1124-7B,fewshot,riskneutral,0.34153,0.70301,0,massA=0.463 massB=0.24
