instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.55254,0.99224,0,massA=0.548 massB=0.444
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.01272,0.94185,0,massA=0.012 massB=0.93
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,0.04337,0.86562,0,massA=0.828 massB=0.0375
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,0.1128,0.86416,0,massA=0.767 massB=0.0975
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.13296,0.99558,0,massA=0.132 massB=0.863
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,0.38307,0.99091,0,massA=0.611 massB=0.38
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.06954,0.99668,0,massA=0.0693 massB=0.927
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.77999,0.98782,0,massA=0.77 massB=0.217
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.02822,0.89742,0,massA=0.0253 massB=0.872
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,0.29748,0.8886,0,massA=0.624 massB=0.264
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.97737,0.97287,0,massA=0.951 massB=0.022
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,0.04708,0.85332,0,massA=0.813 massB=0.0402
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,0.0485,0.91474,0,massA=0.0444 massB=0.87
