instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.96886,0.98016,0,massA=0.95 massB=0.0305
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.72797,0.48284,0,massA=0.351 massB=0.131
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.09138,0.40149,0,massA=0.365 massB=0.0367
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.20562,0.62096,0,massA=0.493 massB=0.128
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.62795,0.97592,0,massA=0.613 massB=0.363
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.49414,0.95677,0,massA=0.484 massB=0.473
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.35042,0.97578,0,massA=0.342 massB=0.634
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.82782,0.97619,0,massA=0.808 massB=0.168
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.79564,0.36401,0,massA=0.29 massB=0.0744
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.64244,0.74689,0,massA=0.267 massB=0.48
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.75922,0.94536,0,massA=0.718 massB=0.228
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.06053,0.39943,0,massA=0.375 massB=0.0242
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.30239,0.46409,0,massA=0.14 massB=0.324
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.52926,0.97476,0,massA=0.516 massB=0.459
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.34688,0.71218,0,massA=0.465 massB=0.247
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.9515,0.99497,0,massA=0.0483 massB=0.947
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B-DPO,fewshot,riskneutral,0.97156,0.98198,0,massA=0.954 massB=0.0279
