instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.32424,0.99735,0,massA=0.323 massB=0.674
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.0009,0.98161,0,massA=0.00088 massB=0.981
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.01107,0.88717,0,massA=0.877 massB=0.00982
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.03259,0.91439,0,massA=0.885 massB=0.0298
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.02801,0.99875,0,massA=0.028 massB=0.971
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.18359,0.99442,0,massA=0.812 massB=0.183
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.01322,0.99912,0,massA=0.0132 massB=0.986
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.63703,0.99123,0,massA=0.631 massB=0.36
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.00267,0.96129,0,massA=0.00257 massB=0.959
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.09947,0.92668,0,massA=0.835 massB=0.0922
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,0.98604,0.9715,0,massA=0.958 massB=0.0136
