instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.98667,0.99155,0,massA=0.978 massB=0.0132
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.48438,0.44168,0,massA=0.214 massB=0.228
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.01898,0.38386,0,massA=0.377 massB=0.00728
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.13118,0.56302,0,massA=0.489 massB=0.0739
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.67576,0.98725,0,massA=0.667 massB=0.32
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.46879,0.9669,0,massA=0.514 massB=0.453
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.32253,0.98789,0,massA=0.319 massB=0.669
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.89841,0.986,0,massA=0.886 massB=0.1
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.60952,0.2934,0,massA=0.179 massB=0.115
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.52537,0.68305,0,massA=0.324 massB=0.359
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.78923,0.96044,0,massA=0.758 massB=0.202
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.01205,0.39771,0,massA=0.393 massB=0.00479
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.25238,0.42582,0,massA=0.107 massB=0.318
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.5448,0.98655,0,massA=0.537 massB=0.449
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.28777,0.6706,0,massA=0.478 massB=0.193
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.96124,0.99755,0,massA=0.0387 massB=0.959
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.98738,0.99193,0,massA=0.979 massB=0.0125
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.47853,0.98383,0,massA=0.471 massB=0.513
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.98935,0.98921,0,massA=0.979 massB=0.0105
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.81989,0.99638,0,massA=0.179 massB=0.817
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.95465,0.99835,0,massA=0.0453 massB=0.953
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,allenai/OLMo-2-1124-7B-Instruct,fewshot,riskneutral,0.99783,0.99195,0,massA=0.99 massB=0.00215
