instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.48243,0.98497,0,massA=0.475 massB=0.51
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.11596,0.94007,0,massA=0.109 massB=0.831
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.33112,0.91296,0,massA=0.611 massB=0.302
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.39983,0.9143,0,massA=0.549 massB=0.366
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.27669,0.98693,0,massA=0.273 massB=0.714
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.64958,0.9897,0,massA=0.347 massB=0.643
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.19437,0.98769,0,massA=0.192 massB=0.796
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.77458,0.9805,0,massA=0.759 massB=0.221
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.15203,0.91286,0,massA=0.139 massB=0.774
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.51368,0.92965,0,massA=0.452 massB=0.478
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.87059,0.97799,0,massA=0.851 massB=0.127
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.37755,0.89964,0,massA=0.56 massB=0.34
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.19436,0.8849,0,massA=0.172 massB=0.713
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.30239,0.98407,0,massA=0.298 massB=0.686
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.37023,0.95518,0,massA=0.602 massB=0.354
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.67747,0.98848,0,massA=0.319 massB=0.67
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.55833,0.98444,0,massA=0.55 massB=0.435
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.26133,0.98345,0,massA=0.257 massB=0.726
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.87407,0.97737,0,massA=0.854 massB=0.123
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.61509,0.98942,0,massA=0.381 massB=0.609
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.74466,0.99466,0,massA=0.254 massB=0.741
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.90926,0.98257,0,massA=0.893 massB=0.0892
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.22815,0.98084,0,massA=0.224 massB=0.757
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.0389,0.94444,0,massA=0.0367 massB=0.908
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.23794,0.93001,0,massA=0.709 massB=0.221
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.8164,0.98531,0,massA=0.804 massB=0.181
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.86522,0.98548,0,massA=0.133 massB=0.853
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.62795,0.98543,0,massA=0.367 massB=0.619
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.54287,0.98725,0,massA=0.451 massB=0.536
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.31238,0.9259,0,massA=0.637 massB=0.289
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.91671,0.9935,0,massA=0.0828 massB=0.911
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.82104,0.98105,0,massA=0.805 massB=0.176
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.83223,0.98626,0,massA=0.821 massB=0.165
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.85391,0.98951,0,massA=0.845 massB=0.145
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.39981,0.98237,0,massA=0.393 massB=0.59
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.78399,0.99148,0,massA=0.214 massB=0.777
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.64423,0.9871,0,massA=0.351 massB=0.636
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.69761,0.92843,0,massA=0.281 massB=0.648
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,0.27202,0.9846,0,massA=0.268 massB=0.717
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,0.55447,0.99146,0,massA=0.442 massB=0.55
