instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.69595,0.93373,0,massA=0.65 massB=0.284
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.62426,0.6702,0,massA=0.418 massB=0.252
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.37205,0.68022,0,massA=0.427 massB=0.253
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.39797,0.73493,0,massA=0.442 massB=0.292
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.40544,0.94617,0,massA=0.384 massB=0.563
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.61879,0.87559,0,massA=0.334 massB=0.542
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.28776,0.94382,0,massA=0.272 massB=0.672
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.79691,0.92138,0,massA=0.734 massB=0.187
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.66884,0.59817,0,massA=0.4 massB=0.198
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.55256,0.76203,0,massA=0.341 massB=0.421
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.64421,0.89391,0,massA=0.576 massB=0.318
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.39234,0.68958,0,massA=0.419 massB=0.271
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.34158,0.66791,0,massA=0.228 massB=0.44
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.38491,0.93761,0,massA=0.361 massB=0.577
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.4805,0.79304,0,massA=0.412 massB=0.381
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.80685,0.96646,0,massA=0.187 massB=0.78
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.70578,0.94833,0,massA=0.669 massB=0.279
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.40544,0.93508,0,massA=0.379 massB=0.556
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.91398,0.92488,0,massA=0.845 massB=0.0796
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.70902,0.96849,0,massA=0.282 massB=0.687
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.79693,0.98111,0,massA=0.199 massB=0.782
