instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.37387,0.9698,0,massA=0.363 massB=0.607
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,Qwen/Qwen2.5-7B,fewshot,0.46101,0.92885,0,massA=0.428 massB=0.501
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,Qwen/Qwen2.5-7B,fewshot,0.14609,0.90999,0,massA=0.777 massB=0.133
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.09009,0.93611,0,massA=0.852 massB=0.0843
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.2422,0.96973,0,massA=0.235 massB=0.735
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.09947,0.93694,0,massA=0.844 massB=0.0932
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.23934,0.97101,0,massA=0.232 massB=0.739
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,Qwen/Qwen2.5-7B,fewshot,0.48437,0.95587,0,massA=0.463 massB=0.493
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,Qwen/Qwen2.5-7B,fewshot,0.51171,0.92244,0,massA=0.472 massB=0.45
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.12765,0.93774,0,massA=0.818 massB=0.12
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.55832,0.95018,0,massA=0.531 massB=0.42
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,Qwen/Qwen2.5-7B,fewshot,0.15406,0.91069,0,massA=0.77 massB=0.14
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,Qwen/Qwen2.5-7B,fewshot,0.39607,0.88136,0,massA=0.349 massB=0.532
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.24798,0.96908,0,massA=0.24 massB=0.729
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.13478,0.93481,0,massA=0.809 massB=0.126
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.13297,0.96428,0,massA=0.836 massB=0.128
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.34864,0.97237,0,massA=0.339 massB=0.633
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.26284,0.97029,0,massA=0.255 massB=0.715
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,Qwen/Qwen2.5-7B,fewshot,0.48827,0.95929,0,massA=0.468 massB=0.491
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.10522,0.96598,0,massA=0.864 massB=0.102
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.10971,0.96897,0,massA=0.863 massB=0.106
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,Qwen/Qwen2.5-7B,fewshot,0.68594,0.95732,0,massA=0.657 massB=0.301
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.24798,0.97049,0,massA=0.241 massB=0.73
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,Qwen/Qwen2.5-7B,fewshot,0.38491,0.93104,0,massA=0.358 massB=0.573
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.13118,0.93268,0,massA=0.81 massB=0.122
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.47268,0.95928,0,massA=0.453 massB=0.506
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.07477,0.94574,0,massA=0.875 massB=0.0707
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.08152,0.9603,0,massA=0.882 massB=0.0783
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.0901,0.95472,0,massA=0.869 massB=0.086
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.11757,0.936,0,massA=0.826 massB=0.11
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.12422,0.97038,0,massA=0.85 massB=0.121
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.32766,0.95932,0,massA=0.314 massB=0.645
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.37754,0.95471,0,massA=0.36 massB=0.594
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.43782,0.95774,0,massA=0.419 massB=0.538
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.35577,0.96875,0,massA=0.345 massB=0.624
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.10088,0.96493,0,massA=0.868 massB=0.0973
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.10231,0.96953,0,massA=0.87 massB=0.0992
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,Qwen/Qwen2.5-7B,fewshot,0.12765,0.91696,0,massA=0.8 massB=0.117
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.29098,0.9726,0,massA=0.283 massB=0.69
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.13118,0.95896,0,massA=0.833 massB=0.126
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,Qwen/Qwen2.5-7B,fewshot,0.14034,0.9186,0,massA=0.79 massB=0.129
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.09401,0.96171,0,massA=0.871 massB=0.0904
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.07477,0.94008,0,massA=0.87 massB=0.0703
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.07477,0.94519,0,massA=0.875 massB=0.0707
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.08882,0.93971,0,massA=0.856 massB=0.0835
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,Qwen/Qwen2.5-7B,fewshot,0.43782,0.92421,0,massA=0.405 massB=0.52
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.09269,0.95375,0,massA=0.865 massB=0.0884
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.0827,0.93728,0,massA=0.86 massB=0.0775
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.09671,0.96688,0,massA=0.873 massB=0.0935
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.15203,0.93028,0,massA=0.789 massB=0.141
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,Qwen/Qwen2.5-7B,fewshot,0.31743,0.881,0,massA=0.28 massB=0.601
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.07696,0.96406,0,massA=0.89 massB=0.0742
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,Qwen/Qwen2.5-7B,fewshot,0.51171,0.95003,0,massA=0.486 massB=0.464
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.08633,0.96214,0,massA=0.879 massB=0.0831
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.55446,0.95135,0,massA=0.527 massB=0.424
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.29098,0.9699,0,massA=0.282 massB=0.688
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,Qwen/Qwen2.5-7B,fewshot,0.16452,0.89751,0,massA=0.75 massB=0.148
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.10375,0.97034,0,massA=0.87 massB=0.101
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.09808,0.93377,0,massA=0.842 massB=0.0916
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.0851,0.96272,0,massA=0.881 massB=0.0819
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,Qwen/Qwen2.5-7B,fewshot,0.14034,0.90625,0,massA=0.779 massB=0.127
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.37753,0.97149,0,massA=0.367 massB=0.605
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.10522,0.92959,0,massA=0.832 massB=0.0978
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,Qwen/Qwen2.5-7B,fewshot,0.33459,0.86295,0,massA=0.289 massB=0.574
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.5312,0.95719,0,massA=0.508 massB=0.449
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.08036,0.9412,0,massA=0.866 massB=0.0756
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.11437,0.96901,0,massA=0.858 massB=0.111
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,Qwen/Qwen2.5-7B,fewshot,0.29098,0.86853,0,massA=0.253 massB=0.616
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.51561,0.95124,0,massA=0.49 massB=0.461
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,Qwen/Qwen2.5-7B,fewshot,0.09948,0.95634,0,massA=0.861 massB=0.0951
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,Qwen/Qwen2.5-7B,fewshot,0.06657,0.94942,0,massA=0.886 massB=0.0632
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,Qwen/Qwen2.5-7B,fewshot,0.56985,0.92287,0,massA=0.526 massB=0.397
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,Qwen/Qwen2.5-7B,fewshot,0.08389,0.97078,0,massA=0.889 massB=0.0814
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,Qwen/Qwen2.5-7B,fewshot,0.36296,0.95616,0,massA=0.347 massB=0.609
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,Qwen/Qwen2.5-7B,fewshot,0.11437,0.93755,0,massA=0.83 massB=0.107
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,Qwen/Qwen2.5-7B,fewshot,0.28776,0.97159,0,massA=0.28 massB=0.692
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,Qwen/Qwen2.5-7B,fewshot,0.44167,0.91362,0,massA=0.404 massB=0.51
