instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.75491,0.99697,0,massA=0.753 massB=0.244
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.99957,0,massA=1.73e-06 massB=1
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00031,0.92813,0,massA=0.928 massB=0.000288
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,1e-05,0.98173,0,massA=0.982 massB=8.51e-06
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,7e-05,0.99998,0,massA=7.03e-05 massB=1
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00017,0.9951,0,massA=0.995 massB=0.00017
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0001,0.99998,0,massA=9.76e-05 massB=1
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,5e-05,0.99895,0,massA=4.54e-05 massB=0.999
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,1e-05,0.99891,0,massA=1.43e-05 massB=0.999
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,2e-05,0.97402,0,massA=0.974 massB=2.22e-05
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.5813,0.98907,0,massA=0.575 massB=0.414
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00014,0.92149,0,massA=0.921 massB=0.000125
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00011,0.95654,0,massA=0.000103 massB=0.956
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0006,0.99997,0,massA=0.000598 massB=0.999
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,7e-05,0.97067,0,massA=0.971 massB=6.41e-05
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.99989,0,massA=1 massB=4.64e-06
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.40733,0.99719,0,massA=0.406 massB=0.591
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00028,0.99995,0,massA=0.000282 massB=1
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,8e-05,0.9984,0,massA=8.47e-05 massB=0.998
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.99997,0,massA=1 massB=1.9e-06
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,1e-05,0.99997,0,massA=1 massB=5.42e-06
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.01282,0.99084,0,massA=0.0127 massB=0.978
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00039,0.99995,0,massA=0.000386 massB=1
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.99978,0,massA=8.06e-07 massB=1
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00011,0.94075,0,massA=0.941 massB=0.000102
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00348,0.99903,0,massA=0.00348 massB=0.996
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0002,0.99875,0,massA=0.999 massB=0.000197
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,1e-05,0.96878,0,massA=0.969 massB=1.13e-05
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.978,0,massA=0.978 massB=4.13e-06
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,5e-05,0.93339,0,massA=0.933 massB=4.51e-05
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.99993,0,massA=1 massB=3.09e-06
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00011,0.99959,0,massA=0.000107 massB=0.999
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00023,0.99965,0,massA=0.00023 massB=0.999
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0001,0.99982,0,massA=0.000101 massB=1
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.97805,0.99772,0,massA=0.976 massB=0.0219
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.0,0.99998,0,massA=1 massB=1.73e-06
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,1e-05,0.99984,0,massA=1 massB=9.22e-06
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,0.00027,0.95767,0,massA=0.957 massB=0.000254
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,Qwen/Qwen2.5-7B-Instruct,fewshot,0.01033,0.99989,0,massA=0.0103 massB=0.99
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,Qwen/Qwen2.5-7B-Instruct,fewshot,2e-05,0.99201,0,massA=0.992 massB=1.85e-05
